text
Aa ɛdan ne mu
Amanfoɔ no bi retɔn
Amanfoɔ no mu biako
Amanfoɔ nso gyina fie
Amanfoɔ nso gyina hɔ
Amanfoɔ nso gyinagyina wɔ
Amanfoɔ nso nam maame
Amanfoɔ nso redi wɔn
Amanfoɔ nso retwam wɔ
Amanfoɔ nso so wɔ
Amanfoɔ nso tete akonnwa
Amanfoɔ nso tete nkyɛn
Amanfoɔ paen ɛne nnipa
Amanfoɔ pii wɔ kwan
Amanfoɔ redwane apre wɔn
Amanfoɔ so egyina gyina
Amanfoɔ tete akonnwa mu
Amanfoɔ tete akonnwa so
Amanfoɔ tete dan kɛseɛ
Amanfoɔ tete efupɔnkɔ yi
Amanfoɔ tete kaa mu
Amanfoɔ tete nkonnwa no
Amanfoɔ tete pata ase
Amanfoɔ tete pono akyi
Amanfoɔ tete pono ho
Amanfoɔ tete wɔn anim
Amanfoɔ yi kutakuta wɔn
Amanfoɔ ɛdan ɛwɔ hɔ
Amanfoɔ ɛwɔ ɛpoa mpo
Amanfoɔn te wɔn benkum
Amanneɛbɔfoɔ nnipakuo bi wɔ
Amannyɔfoɔ bebree bi abɔ
Amanyɔfoɔ bebree ahyia mu
Amanyɔfoɔ bebree ahyia wɔ
Amanyɔfoɔ wɔpɛ sɛ yɛto
Amanyɔkuo no mu nnipa
Amanyɛsɛm ɛrekɔ so wɔ
Amatwofoɔ no akyi no
Amena bi da hɔ
Amena kakra wɔ hɔnom
Amena kɛseɛ bi nso
Amena kɛseɛ bi wɔ
Amena no bi wɔ
Amena nso da hɔ
Amena pii wɔ asse
Amena wɔ hyɛn no
Amesin foɔ mmienu nso
Amona bi da baabi
Amona ne mu wohwɛ
Amoo kaa waasɛe wɔ
Amor kaa no so
Amɛrika ɔman no frankaa
Ana ade bi so
Anamfoɔ nso gyinagyina nkyɛn
Anammɔn kwan da hɔ
Anan bi nso gyina
Anbofra bi ne papa
Aneesefoɔ atwa ne ho
Anhweneɛ bɔ wɔn ti
Anhweneɛ ne koom adeɛ
Anhweneɛ nso gu wɔn
Anhwenneɛ deda wɔn koom
Anigyebea yi na nnipa
Anigyesɛm bi rekɔ so
Anigyeɛ wɔ wɔn anim
Anim ntentensoɔ nso nohoaa
Anim nyinaa da hɔ
Anipa bebree wɔ ha
Anipa dodow bi ɛwɔ
Anipa no bi ɛyɛ
Ankaa ne borɔdefuo atwa
Ankaa nso wɔ hɔ
Ankaa sua wɔn mu
Ankaa yahyehyɛ bi wɔ
Ankora blue bi nso
Ankorɛ nso si hɔ
Ankorɛ nso si wɔn
Ankorɛ wɔ wɔn akyi
Ano nom deɛ nso
Anomdeɛ nso kitakita binom
Antelope bi nso wɔ
Antweri si wɔn nkyɛn
Anursenii no ɛhyɛ ɛwɔ
Anwea bebree gu wɔn
Anwea bebree nso gugu
Anwea bebree wɔ hɔ
Anwea bi nso gu
Anwea kaa ne baako
Anwea mu na nnipa
Anwea nso so gu
Anwea nso wɔ po
Anwea wɔ fam hɔ
Anwea wɔ wɔn akyi
Anwea ɛwɔ fam hɔ
Anwia bebree wɔ ha
Anwia bebree wɔ nsuo
Anwia nso so ɛwɔ
Anyinam ahoma nso wɔ
Anyinam ahoɔden nhoma nso
Anyinam kanea ho adwuma
Anyinam nhoma nso wɔ
Anyinam nkanea nhoma nam
Anyinam nkanea pole nso
Anɛɛsefo no rehwɛ ayarefo
Anɛɛsefoɔ ahodoɔ pii nso
Anɛɛsefoɔ bi nso wɔhɔ
Anɛɛsefoɔ bi so gyinagyina
Anɛɛsefoɔ mmienu bi nso
Anɛɛsefoɔ no hyɛ ataadeɛ
Anɛɛsefoɔ nso wɔ hɔ
Anɛɛsefoɔ nso wɔn hɔ
Anɛɛsefoɔ yi de adeɛ
Anɛɛsefoɔ yi ekita nnipa
Aolisfoɔ mmarima mmienu bi
Apanpan no ɛyɛ blue
Apanpan sisi wɔn anim
Apata bi nso si
Apata bi si wɔn
Apata kɛse si wɔn
Apata kɛseɛ bi ase
Apata kɛseɛ bi wɔ
Apata ne nso sisi
Apata no ahosuo yɛ
Apata no ahosuo ɛyɛ
Apata no akyi nnua
Apata no soro no
Apata no yɛ kɔkɔɔ
Apata nso wɔ wɔn
Apata so wɔ hɔ
Apata so wɔ wɔn
Apata wɔ wɔn akyi
Apata ɛwɔ wɔn akyi
Apoliisifoɔ nso ɛgyina fam
Apolisfoɔ ne bi hyɛ
Apolisifo abien ne osogyani
Apolisifo ahorow nso wɔ
Apolisifo hyɛ wɔn ataare
Apolisifo ne nyinaa ɛhyɛ
Apolisifo nso gyinagyina no
Apolisifo ɛhyɛn nso ɛwɔ
Apolisifoɔ ahyehyɛ wɔn ho
Apolisifoɔ atwa ne ho
Apolisifoɔ bebree bi wɔ
Apolisifoɔ bebree etwa ahyia
Apolisifoɔ bebree nso pɛ
Apolisifoɔ bi atwahyia wɔ
Apolisifoɔ bi gyina baabi
Apolisifoɔ bi ne enipa
Apolisifoɔ bi nso ahyiam
Apolisifoɔ bin nso gyina
Apolisifoɔ gyinagyina wɔn nkyɛm
Apolisifoɔ mmarima mmienu bi
Apolisifoɔ mmienu gyina hɔ
Apolisifoɔ mmienu ne sodierni
Apolisifoɔ mmiɛnsa ne sogyani
Apolisifoɔ nam kwan so
Apolisifoɔ ne aso ne
Apolisifoɔ ne asraafo nenam
Apolisifoɔ ne bi ne
Apolisifoɔ ne kurom hɔfoɔ
Apolisifoɔ ne mu bi
Apolisifoɔ ne nnipa bi
Apolisifoɔ ne papafoɔ mmiɛnsa
Apolisifoɔ ne temaamufoɔ bi
Apolisifoɔ nnan gyinagyina wɔn
Apolisifoɔ nnum nso gyina
Apolisifoɔ nnum ɛna wɔn
Apolisifoɔ no bi epia
Apolisifoɔ no bi gyinagyina
Apolisifoɔ no bi kuta
Apolisifoɔ no bi nso
Apolisifoɔ no huɛ wɔn
Apolisifoɔ no hyɛ atade
Apolisifoɔ no hyɛ atadeɛw
Apolisifoɔ no hyɛ kyɛw
Apolisifoɔ no hyɛ ɛkyɛ
Apolisifoɔ no yɛ nnan
Apolisifoɔ nso gyina hɔ
Apolisifoɔ nso gyina wɔn
Apolisifoɔ wɔn hyɛn nso
Apolisifoɔ ɛwɔ hɔ bi
Apolosifoɔ yɛ bɛyɛ anan
Apomden mpanimfoɔ bi nso
Apomuden adwumayɛfoɔ ahyia wɔ
Apomuden adwumayɛni nso wɔ
Apon ɛbien nso sisi
Aponkye no baako yɛ
Apono mmienu nso sisi
Apono mmienu sisi hɔ
Apono nso deda ɛpono
Apono nso so esi
Apoosifoɔ de wɔn ani
Apoosifoɔ mmienu ne osogyani
Apoosifoɔ mmienu nso gyina
Apoosifoɔ mmienu tete hyɛn
Aporisifoɔ nnan bi nso
Aporisifoɔ nnipa bi nam
Aprosifoɔ bi gyina baabi
Aprosifoɔ bi gyina hɔ
Apɔmuden adwumayɛfo nso wɔ
Apɔmuden adwumayɛfoɔ bi wɔ
Apɔmuden adwumayɛni no nso
Apɔmuden ho bammɔ ho
Apɔmuden hwɛfoɔ no ɛwɔ
Apɔnko ne nipa bi
Apɔnkye bi nso gyina
Apɔnkye fitaa bi wɔ
Apɔnkye no gyina nsuo
Apɔnkɔ ne apɔnkɔtefoɔ nso
Apɔtɔyewa no yɛ tuntum
Asa so fɛɛfɛɛfɛ bi
Asa so yi mu
Asaafoɔ bi gyina hɔ
Asaase na ɛda wɔn
Asaase no yɛ tuntum
Asaase pɛsɛɛ nso ɛwɔ
Asan abɔ wɔn hyire
Asantehene akyi ne bi
Asantehene ne atena konya
Asanteman hene atena ase
Asase bi da hɔ
Asase bi wɔ nakyi
Asase frɛtɛtɛɛ da hɔ
Asase kakrakaa bi da
Asase kesee wɔ mmɔfra
Asase kɛseɛ bi da
Asase no asɛe koraa
Asase no ayɛ fi
Asase no so ayɛ
Asase no so pa
Asase no yɛ anwea
Asase no yɛ beaeɛ
Asase pɔtɔɔ nsu ayɛ
Asase pɛsɛɛ da wɔn
Asase pɛsɛɛ nso da
Asase saneɛ bi wɔ
Asase watraa bi da
Asase yantamm ne bo
Asasepɛsɛɛ bi da hɔ
Asaw nso gugu hyɛmma
Asaɛm bi asi wɔ
Ase no nso yɛ
Ase nso yɛ ne
Asebɔ bebree wɔ hɔ
Asebɔ ne mmoa ahorow
Asebɔ no redi aboa
Asepatere nso da fam
Aseɛ no nso ɛyɛ
Asogya fo so wɔn
Asogyafo yi mu mmienu
Asogyafoɔ bebree bi wɔ
Asogyafoɔ bebree gyina hɔ
Asogyafoɔ bebree ne nnipa
Asogyafoɔ bi renante wɔ
Asogyafoɔ gyina wɔn akyi
Asogyafoɔ gyina wɔn kaa
Asogyafoɔ hyehyɛ wɔn ntadeɛ
Asogyafoɔ mmarima bi nso
Asogyafoɔ ne apolisifoɔ nso
Asogyafoɔ ne bi egyina
Asogyafoɔ ne de adeɛ
Asogyafoɔ no hyehyɛ wɔn
Asogyafoɔ no hyɛ ataadeɛ
Asogyafoɔ no mmienu hyɛ
Asono mmienu wɔ nwiram
Asono mmienu ɛwɔ beaeɛ
Asono ne wɔn mma
Asono nnan bi wɔ
Asono no wɔ wɔn
